ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,CAT_ORDER_CHANNEL,TYP_CUSTOMER_SEGMENT,REF_COUNTRY_CODE,REF_DISCOUNT_CODE,QTY_BACKORDER,RAT_DISCOUNT_APPLIED,TST_INSERTION,AUD_USR_INSERT,DES_ORDER_NOTE
ORD000014,2025-02-22,,PART4590,0,4582.11,CASH,2025-07-29,ONLINE,B2C,DEU,SPRING2025,,0.05,2025-04-12T08:20:43,williamsbenjamin,
ORD000015,2025-02-08,,PART1951,null,-100,CARD,2025-07-16,ONLINE,CORPORATE,FRA,,0,0.00,2025-04-25T12:01:53,michael60,
ORD000016,2024-07-01,CUST2297,PART8699,-1,4847.69,,2025-07-02,,CORPORATE,FRA,,5,,2024-09-15T20:03:33,ryanjulie,Trial provide man chance. Share everything born partner on cause save.
ORD000017,2024-10-21,CUST7163,PART3424,18,4351.96,,2025-07-28,,VIP,ESP,,N/A,0.05,2025-06-19T16:33:43,amyphillips,Focus company modern staff find man decade. Herself exist subject.
ORD000018,2024-10-03,CUST4482,ERROR,-1,6890.1,,2025-06-29,ONLINE,B2C,DEU,NEWCLIENT,N/A,0.00,2024-09-11T03:04:36,obrienbrent,Rest assume plan the free appear material measure.
ORD000019,2024-09-09,CUST3853,PART1025,X,1618.86,CASH,,B2B_PORTAL,VIP,FRA,SPRING2025,2,0.05,2024-08-21T02:07:36,joseellis,
ORD000020,2024-08-01,CUST6061,PART9466,0,5545.96,CARD,2025-07-02,PHONE,B2C,DEU,SPRING2025,0,0.10,2024-09-11T04:40:35,bcooper,Natural fly already right however. Item simple ten when wind.
ORD000021,2024-11-15,CUST5213,PART9209,-1,5874.56,CASH,2025-08-19,,VIP,DEU,SPRING2025,,0.00,2025-05-05T16:08:54,valeriebarber,Friend away under soldier peace number yourself.
ORD000022,2025-03-29,CUST9360,PART6825,-1,ERROR,,2025-08-01,STORE,,,DEPRECATED,2,0.15,2025-05-17T00:44:21,uwilliams,Least now thought happen dream job. Indicate movement anything.
ORD000023,INVALID_DATE,CUST8880,PART3175,7,-100,,2025-07-27,STORE,B2B,,NEWCLIENT,0,0.15,2025-05-06T18:42:11,ysmith,Defense responsibility event.
ORD000024,2025-06-21,CUST2191,PART5620,-1,1536.34,TRANSFER,2025-06-25,,VIP,,SPRING2025,5,0.15,2024-07-30T05:17:24,nmontoya,Month woman east or fly. Rich relationship executive law.
ORD000025,INVALID_DATE,CUST9074,ERROR,0,4541.45,CARD,2025-07-31,STORE,B2C,,,1,0.10,2025-02-21T12:14:58,jason82,
ORD000026,2024-09-21,CUST2888,PART5047,X,3654.85,CARD,,,VIP,DEU,SPRING2025,1,0.10,2025-02-11T13:46:46,luissmith,Read TV especially enter. Student him set man action now technology data.
ORD000027,2024-12-01,CUST1959,PART2916,19,2244.2,,,B2B_PORTAL,CORPORATE,,NEWCLIENT,2,0.05,2025-05-31T18:17:55,twatts,Fall may majority what. Reality scene all change which.
ORD000028,2025-03-19,CUST8408,PART3240,null,8292.74,CRYPTO,2025-08-20,STORE,B2C,ESP,DEPRECATED,5,0.15,2024-08-09T05:21:45,terrence32,Movement represent four education stage may mother large.
ORD000029,2025-04-07,,PART6383,null,2825.83,,2025-07-23,,,ESP,NEWCLIENT,0,0.05,2024-07-01T17:54:43,boothalyssa,Those research pass identify idea safe and wonder.
ORD000030,2025-02-25,CUST9733,PART8227,5,8956.26,CRYPTO,2025-08-21,STORE,VIP,ESP,,2,,2025-05-26T23:46:57,hannah52,Edge real two parent large condition push.
ORD000031,2025-04-07,CUST1543,PART8054,0,1049.96,CRYPTO,2025-07-08,ONLINE,B2C,DEU,,N/A,0.05,2025-05-23T01:29:04,johnreynolds,Friend eat trade purpose. Summer trial doctor analysis last sure however.
ORD000032,2025-04-10,CUST1872,PART5745,-1,478.52,CRYPTO,,ONLINE,VIP,FRA,NEWCLIENT,0,0.00,2025-03-24T03:44:01,brenda10,Exactly affect property style hard improve end.
ORD000033,2025-02-06,CUST4889,PART1840,-1,8089.92,,2025-08-07,,B2B,FRA,SPRING2025,2,0.05,2025-02-07T13:43:16,manuel97,Watch garden process tend. Dinner course painting true.
ORD000034,2024-10-23,CUST9514,PART2616,-1,6890.24,CASH,2025-06-30,PHONE,CORPORATE,,NEWCLIENT,0,0.10,2024-08-19T10:26:48,mccartyjeffrey,Crime history arm dinner choice. Name parent plan worry agent.
ORD000035,2025-01-11,,PART7559,X,7739.44,,2025-08-06,B2B_PORTAL,CORPORATE,ITA,,N/A,0.00,2024-07-13T15:18:27,hernandezanthony,
ORD000036,2025-03-07,CUST4311,PART2138,0,8478.31,,2025-07-30,PHONE,B2C,ITA,,N/A,0.00,2025-02-03T11:38:56,alexisjackson,Trouble back believe step before remain medical race.
ORD000037,2024-07-24,CUST2868,PART3448,0,5409.03,CARD,2025-06-25,,B2B,FRA,,0,0.00,2025-04-27T12:06:03,hickssara,
ORD000038,2025-05-20,CUST4357,PART2098,0,-100,,2025-07-10,,B2C,USA,DEPRECATED,5,0.05,2025-02-26T17:38:45,nicholas95,Agent high figure exactly key and. Very tax information.
ORD000039,2024-09-08,CUST7233,PART4999,-1,3442.48,,2025-08-13,B2B_PORTAL,VIP,ESP,DEPRECATED,0,0.10,2024-09-20T10:38:17,flynnkyle,Half we after explain baby national. Key find difficult current though star.
ORD000040,2025-03-23,CUST1206,PART5384,null,1317.09,CARD,2025-08-12,STORE,B2B,FRA,NEWCLIENT,,0.10,2025-03-09T05:55:58,arthurjohnson,Middle early everything use. Like itself police cut.
ORD000041,2024-08-18,,PART9440,null,4167.26,,2025-07-22,,,USA,,1,,2024-08-07T14:14:43,michellewright,
ORD000042,2024-10-23,CUST4517,PART4607,null,8601.24,CARD,2025-07-14,ONLINE,CORPORATE,USA,SPRING2025,,0.15,2024-07-02T20:22:48,phillipramirez,Doctor everything garden deep friend. High bar time.
ORD000043,2024-12-01,CUST2246,ERROR,6,1513.18,TRANSFER,2025-07-30,B2B_PORTAL,B2C,,,1,,2024-08-25T23:48:25,thouse,Particularly message among would concern. Son also pick morning air.
ORD000044,2025-04-07,CUST3274,PART6863,X,6592.22,CARD,2025-07-14,PHONE,B2C,USA,,1,,2025-01-10T12:29:03,levi55,Become necessary health few us always. Happen outside financial.
ORD000045,2025-06-02,CUST6739,PART7007,X,8503.6,CRYPTO,2025-07-24,ONLINE,VIP,FRA,,0,0.10,2025-06-17T06:04:23,vhart,
ORD000046,INVALID_DATE,CUST8387,PART7506,18,1709.39,CARD,2025-07-23,ONLINE,B2C,USA,NEWCLIENT,,0.00,2025-03-02T18:15:47,juan32,
ORD000047,2025-01-29,CUST6913,PART9803,X,-100,,2025-07-15,,B2C,ITA,,1,,2024-09-23T04:02:19,mpeterson,Right deal relate near. Check away accept sometimes camera talk whatever.
ORD000048,2024-09-11,CUST1703,PART4083,null,2432.73,CRYPTO,,ONLINE,B2C,ITA,SPRING2025,2,0.05,2024-10-25T20:55:59,relliott,
ORD000049,2024-07-13,CUST2446,PART8667,X,,CARD,2025-08-22,STORE,CORPORATE,ESP,DEPRECATED,0,,2024-10-16T16:17:56,michelewalker,
ORD000050,2025-05-06,CUST2617,PART5755,null,6202.16,,2025-08-20,B2B_PORTAL,B2B,DEU,DEPRECATED,N/A,0.00,2024-09-26T22:18:47,clarkmichael,Before style affect alone same. Majority strategy finally detail.
ORD000051,2024-11-05,CUST6674,PART1494,X,6238.98,TRANSFER,2025-08-10,ONLINE,CORPORATE,ESP,,1,,2024-07-05T08:56:01,mfinley,Sure identify probably table. There tend industry loss hear road clearly.
ORD000052,2024-08-23,CUST3713,PART5160,0,3932.81,CRYPTO,2025-06-26,ONLINE,B2C,,,,0.10,2024-12-26T23:31:01,douglasemma,Market apply some place though citizen once. Policy end consider.
ORD000053,2024-07-08,CUST4524,PART9009,9,7540.29,TRANSFER,,,VIP,ITA,,0,,2025-06-11T03:06:00,clambert,Business cultural matter late mission building involve sister.
ORD000054,2024-08-28,CUST7328,PART5990,0,4151.39,TRANSFER,2025-08-10,B2B_PORTAL,B2B,ESP,DEPRECATED,0,,2025-06-01T16:47:20,perrybill,Different cultural against school security as.
ORD000055,2024-08-04,CUST1435,PART6391,X,4076.81,TRANSFER,2025-07-05,STORE,VIP,FRA,,1,,2025-04-30T11:54:39,andrewlong,
ORD000056,2024-07-21,CUST2367,PART9019,0,3492.11,,2025-07-09,PHONE,,ITA,NEWCLIENT,,0.10,2024-08-23T16:42:34,kshepard,
ORD000057,2025-01-07,CUST9282,PART8365,0,9239.24,TRANSFER,2025-08-11,STORE,B2B,USA,DEPRECATED,N/A,0.10,2025-06-19T10:03:01,upierce,By moment budget open. Follow simply fire car.
ORD000058,2024-08-30,CUST8094,PART1605,X,3876.33,CARD,2025-08-17,B2B_PORTAL,VIP,,,2,0.10,2025-05-25T06:57:06,eric74,
ORD000059,2024-09-11,CUST8672,PART1652,21,1353.99,CRYPTO,,STORE,B2C,,NEWCLIENT,0,,2025-06-10T02:36:51,kenneth20,In easy condition nation. Discussion talk word.
ORD000060,2024-11-06,CUST9798,PART7832,null,9808.75,,,PHONE,B2C,DEU,,0,0.10,2024-08-06T09:27:44,dgarcia,According paper lead idea. Part suddenly safe test someone.
ORD000061,2025-04-26,CUST3223,PART2111,0,4897.37,CARD,,,CORPORATE,FRA,NEWCLIENT,N/A,,2024-12-12T03:50:24,nicholashernandez,See marriage serve offer although.
ORD000062,2025-05-15,CUST1115,PART6973,null,8099.65,TRANSFER,2025-06-24,PHONE,B2C,USA,DEPRECATED,0,0.15,2024-12-27T19:42:16,charleshouse,Future garden situation with ground usually practice.
ORD000063,2025-04-12,CUST2570,PART7379,-1,1802.96,CASH,2025-07-07,STORE,CORPORATE,DEU,,2,0.05,2025-05-27T23:56:26,pittsjohn,Ground smile near administration hundred.
ORD000064,2024-07-14,CUST9309,PART6511,18,3615.4,,2025-07-08,STORE,VIP,DEU,NEWCLIENT,5,0.10,2025-05-31T20:02:06,susan26,Him official out specific huge of market not. Try suffer accept election task.
ORD000065,INVALID_DATE,CUST5203,PART8384,-1,9941.87,CRYPTO,2025-07-21,STORE,B2C,ESP,,2,0.10,2025-01-03T16:33:58,danielsandrea,See high radio wear collection point. Ask tonight senior building.
ORD000066,2025-02-06,CUST8082,PART7306,null,3890.79,CRYPTO,2025-08-21,B2B_PORTAL,VIP,ESP,NEWCLIENT,N/A,0.15,2025-01-30T19:36:25,rebecca14,
ORD000067,2024-12-31,CUST1257,PART1513,0,6137.13,CRYPTO,2025-07-31,,CORPORATE,FRA,NEWCLIENT,5,0.05,2024-09-01T21:35:34,allendaniel,Hand hope miss girl reality create much wait.
ORD000068,2024-09-06,CUST1668,PART5109,-1,9316.57,CASH,2025-07-26,ONLINE,B2B,DEU,SPRING2025,1,0.00,2025-01-01T10:02:36,catherine82,All hear level change. Class contain also vote box lead cell floor.
ORD000069,2025-06-19,CUST5896,ERROR,-1,8228.98,,2025-08-11,,VIP,FRA,NEWCLIENT,,0.10,2024-12-16T07:49:47,iorozco,Society able process outside story. Again official medical forget.
ORD000070,2025-04-12,CUST6537,PART7577,null,8625.13,,2025-07-30,STORE,VIP,FRA,NEWCLIENT,,0.15,2025-02-17T02:09:31,miguel73,Table identify important door condition may far.
ORD000071,2024-07-12,CUST1379,PART2582,X,996.55,TRANSFER,2025-07-27,B2B_PORTAL,B2B,FRA,SPRING2025,0,0.10,2024-07-30T12:54:28,taylorzachary,Tax feeling change. Drop present against even race entire.
ORD000072,2024-10-16,CUST1195,PART9501,0,9150.27,CASH,2025-08-21,,B2C,ITA,,N/A,0.10,2025-05-12T06:06:32,mary21,Less until itself art. Boy away pattern her. Left country respond spring.
ORD000073,2024-12-07,CUST4233,PART1330,0,2896.81,CARD,2025-07-21,ONLINE,B2C,DEU,SPRING2025,2,0.05,2024-07-11T20:02:40,emily47,Resource society front old. Finally price situation customer only subject.
ORD000074,2025-03-06,CUST9550,PART2794,21,ERROR,,2025-08-19,ONLINE,CORPORATE,ITA,SPRING2025,2,0.00,2025-03-03T07:29:48,nelsonstephen,Include part believe large oil large leader.
ORD000075,2024-10-03,CUST2216,PART9141,0,6408.2,,2025-08-01,ONLINE,B2B,ITA,DEPRECATED,2,0.15,2025-06-19T16:11:39,davisjeremy,
ORD000076,INVALID_DATE,CUST6615,PART6140,X,3246.79,TRANSFER,2025-08-12,STORE,CORPORATE,USA,,1,0.10,2024-08-27T05:20:29,shannon61,
ORD000077,2024-08-19,,PART5553,-1,2893.7,,2025-07-30,,B2C,USA,,1,0.15,2024-10-30T20:35:35,xmiller,Ask piece cause hot do large for. Stop suggest water avoid fine school site.
ORD000078,2024-10-07,CUST6238,PART1519,12,9624.16,TRANSFER,2025-08-14,ONLINE,B2B,USA,DEPRECATED,5,0.05,2025-03-31T08:29:46,jramirez,Claim production no oil agreement involve. Look most time girl soon.
ORD000079,INVALID_DATE,,PART3646,-1,7559.92,CRYPTO,2025-07-06,PHONE,B2B,,SPRING2025,,,2024-11-14T05:19:18,vrobinson,Boy lead so fire change tax. Conference note sometimes year street be cause.
ORD000080,2024-11-04,CUST6241,PART9238,-1,2337.82,CRYPTO,2025-08-04,PHONE,B2C,DEU,DEPRECATED,1,0.10,2024-10-22T19:59:43,april08,Those difference business stand game read majority.
ORD000081,2025-04-24,CUST5771,PART9294,null,ERROR,CRYPTO,2025-07-31,B2B_PORTAL,CORPORATE,ITA,NEWCLIENT,N/A,,2024-08-20T17:49:11,mauricegarrett,
ORD000082,2025-06-14,CUST9018,PART8437,19,648.39,,2025-07-03,PHONE,B2B,USA,DEPRECATED,,0.00,2025-02-28T22:10:50,aliciamartinez,Set learn if majority small. Energy little issue happy more.
ORD000083,2025-06-05,CUST4812,PART7952,X,3152.75,TRANSFER,,STORE,VIP,ITA,,0,0.10,2024-10-02T17:52:18,michaelmanning,Program agreement seek benefit never guy machine six.
ORD000084,2024-11-10,CUST9260,PART2652,-1,4158.75,,2025-06-25,PHONE,B2C,DEU,NEWCLIENT,2,0.15,2024-12-10T07:39:25,uortiz,Even music more later. Market chair gas truth listen consider this heart.
ORD000085,INVALID_DATE,CUST8406,PART9295,5,6104.12,CRYPTO,2025-08-11,STORE,,ITA,SPRING2025,,0.10,2024-09-14T19:25:55,bnelson,But poor nor policy too paper do hundred.
ORD000086,2024-10-06,CUST1811,PART4794,21,6298.48,,,,VIP,,SPRING2025,5,0.00,2024-09-26T19:23:18,hallanthony,Seek society bill. Base talk oil rock majority daughter speak.
ORD000087,2024-07-25,CUST4722,PART6049,0,3856.92,CASH,2025-07-28,STORE,VIP,FRA,,2,0.10,2024-11-01T13:23:52,danielsryan,Song leg reach research. Admit member when third. Them lawyer whether.
ORD000088,2024-07-05,CUST8364,PART2945,null,8495.79,,,B2B_PORTAL,B2B,,,5,0.10,2025-04-04T08:05:08,edward69,Involve board bed product fast mind. Scientist last several without value.
ORD000089,2025-02-12,CUST5818,PART9815,0,3748.75,CRYPTO,,ONLINE,VIP,FRA,DEPRECATED,N/A,0.10,2024-12-16T19:51:30,ptrujillo,
ORD000090,2025-05-03,CUST6566,PART8203,X,2868.1,CASH,,ONLINE,B2C,,DEPRECATED,2,0.10,2025-02-11T10:30:53,mcgeevictor,Authority computer project music support similar.
ORD000091,2024-10-21,CUST4805,PART7874,8,6117.88,,2025-08-20,PHONE,,FRA,SPRING2025,2,0.15,2025-03-31T04:58:12,rebecca94,Parent garden develop expect little book forward hold.
ORD000092,2025-05-23,CUST1127,PART2808,0,,CRYPTO,2025-06-24,STORE,,USA,,5,0.10,2025-04-01T20:30:48,tatefrank,About light read road. Sea already TV yard question.
ORD000093,2025-06-02,CUST3677,PART7308,-1,8219.79,CASH,2025-08-05,ONLINE,CORPORATE,USA,DEPRECATED,,0.15,2024-10-09T11:00:16,andersonjonathan,Language teacher shake way computer. Tree quickly coach training.
ORD000094,2024-09-18,CUST8447,PART8816,-1,,CASH,2025-08-07,,B2C,ESP,DEPRECATED,2,0.10,2025-02-23T10:06:05,dli,
ORD000095,2024-12-21,CUST8253,PART9998,9,,,2025-08-06,ONLINE,,ESP,NEWCLIENT,2,,2025-04-15T12:38:38,johndonaldson,Forget mouth hard indicate cold traditional however.
ORD000096,2024-07-02,CUST3253,PART3352,4,5782.4,CRYPTO,2025-07-18,B2B_PORTAL,CORPORATE,,DEPRECATED,1,0.00,2025-01-01T02:10:15,zsanchez,Person nature blood himself great speak billion reveal.
ORD000097,2025-02-21,CUST1422,PART2927,0,4571.06,CASH,2025-07-13,B2B_PORTAL,,ITA,NEWCLIENT,5,0.10,2024-11-14T04:37:50,ohunter,
ORD000098,2025-06-11,CUST9964,PART9037,13,1162.86,CASH,2025-07-09,PHONE,B2B,DEU,,1,0.10,2024-10-15T00:44:11,suzannedaniel,Character join word just practice particular.
ORD000099,2025-04-27,CUST3137,PART9749,null,6865.87,TRANSFER,2025-08-01,STORE,VIP,DEU,SPRING2025,1,0.05,2025-05-26T04:38:02,tamarafields,Me guess project anything identify risk all. New method second safe.
ORD000100,2024-10-17,,PART3696,X,3227.13,CASH,2025-07-22,STORE,B2B,ITA,SPRING2025,1,0.10,2025-06-01T05:48:04,monica27,Write its strategy western. Law energy contain fast push lose.
ORD000101,2025-02-13,CUST3582,PART2048,0,528.31,CRYPTO,2025-06-25,B2B_PORTAL,B2B,ITA,,1,0.05,2025-01-16T14:04:19,cbradshaw,Others there level forward lawyer line.
ORD000102,2025-06-10,CUST4166,PART7624,6,8953.42,CARD,2025-07-22,ONLINE,CORPORATE,DEU,NEWCLIENT,N/A,,2024-09-23T11:19:46,tuckersydney,
ORD000103,2024-07-10,CUST7998,ERROR,X,9510.47,CASH,2025-07-16,,B2C,USA,NEWCLIENT,,,2024-10-25T08:30:06,armstrongpatrick,Know huge how from few security thousand. Hot meeting remember final.
ORD000104,2024-07-29,CUST7280,PART2637,-1,3304.51,,2025-08-21,STORE,B2C,DEU,SPRING2025,,,2025-04-09T03:05:31,valerie99,Accept between blue drive staff garden current.
ORD000105,2024-11-01,CUST2195,PART6696,null,9031.98,,2025-08-12,B2B_PORTAL,B2C,,,2,0.15,2025-03-11T14:36:22,olivia10,Create fire money part mother. Glass less bar increase.
ORD000106,2025-05-23,CUST1647,PART6484,7,32.87,,2025-08-19,B2B_PORTAL,,ESP,,N/A,0.10,2024-11-01T02:46:59,ellisronald,Similar skin season buy. Too consider fire interest happy.
ORD000107,2024-10-06,CUST3928,PART4167,0,4862.86,CARD,2025-07-09,PHONE,,ITA,DEPRECATED,5,0.15,2024-08-22T12:25:17,rpalmer,Also worry reduce likely management skill century.
ORD000108,2024-09-15,CUST7573,PART4717,-1,ERROR,,,STORE,,,,2,0.10,2024-07-13T23:28:48,justin27,Garden deal state hand smile see. Common officer you name year lawyer bill.
ORD000109,2025-06-05,CUST2083,PART5556,X,5028.94,,,,B2B,ESP,NEWCLIENT,0,0.00,2025-05-09T04:27:52,kennedystacy,Choose case high war mother prevent strategy.
ORD000110,2024-07-31,CUST5475,PART7821,8,4461.06,CARD,,B2B_PORTAL,B2C,FRA,NEWCLIENT,,,2025-05-19T19:34:20,clarkcraig,Keep risk over every. Newspaper head think defense win sing.
ORD000111,2025-05-04,CUST8776,PART9677,13,2260.63,TRANSFER,2025-06-26,B2B_PORTAL,,DEU,SPRING2025,0,,2024-08-18T00:36:05,qdavis,College government with design create great. Not official wall far.
ORD000112,2024-09-03,CUST2453,PART7611,10,-100,CRYPTO,,STORE,B2C,USA,,1,0.05,2024-09-18T06:38:56,mcclainvictoria,Middle account seem write effect beyond. Statement grow serious far family.
ORD000113,2025-05-03,CUST7436,PART1357,X,-100,CRYPTO,2025-07-09,B2B_PORTAL,VIP,FRA,SPRING2025,N/A,0.00,2025-03-05T03:55:00,kathleen90,Indicate entire truth after. Know performance activity reflect.
ORD000114,2024-09-28,CUST6761,PART3019,7,3216.78,TRANSFER,,B2B_PORTAL,B2C,DEU,DEPRECATED,2,0.10,2024-10-28T15:17:36,dunlapjoshua,Figure light draw do edge. Standard one yeah answer agency computer sure.
ORD000115,2024-11-06,CUST8207,PART5185,1,589.65,,2025-06-25,PHONE,B2C,USA,,,0.05,2025-03-31T05:14:18,garrettelizabeth,Player while song family answer car sit.
ORD000116,2025-03-01,CUST9359,PART2564,16,1595.72,CARD,2025-06-25,ONLINE,,USA,SPRING2025,1,0.00,2024-07-19T20:45:10,zlewis,Ago memory movie speak. Year force less issue. Face national heart growth risk.
ORD000117,2025-03-16,CUST4198,PART6004,-1,946.41,TRANSFER,2025-07-29,,,DEU,DEPRECATED,0,0.15,2024-11-20T04:52:10,latashagarcia,Close forget himself threat apply street pressure. Into of person sort course.
ORD000118,INVALID_DATE,CUST2467,ERROR,null,5116.38,CARD,,PHONE,,ESP,,,,2025-04-17T04:48:05,jimmyrodriguez,Young simply behavior realize human ball. Best fire office set.
ORD000119,2024-11-15,CUST5171,PART5452,0,9803.55,,2025-07-20,STORE,B2C,ESP,DEPRECATED,1,0.10,2025-03-27T09:02:48,david61,Evening different population discover fast.
ORD000120,2024-07-09,CUST8337,PART8283,-1,7204.09,CASH,2025-07-30,B2B_PORTAL,B2B,USA,SPRING2025,2,0.05,2024-12-01T01:40:51,westdanielle,
ORD000121,2025-03-30,CUST1413,PART1739,0,-100,TRANSFER,2025-08-07,PHONE,,DEU,,0,0.00,2024-07-11T07:47:46,scott45,In job manager my ask. Staff bed door wait boy project gas modern.
ORD000122,2024-07-11,CUST5878,PART3015,0,1230.47,CASH,2025-07-29,,CORPORATE,FRA,,1,0.05,2025-03-07T12:37:51,reillykevin,Back particularly strategy entire. Receive decide capital marriage.
ORD000123,2024-11-28,CUST2314,PART7927,25,2694.68,CARD,2025-08-03,,B2C,ITA,,0,,2025-03-20T21:03:56,laurawoods,Her beat reveal inside worry city.
ORD000124,2024-12-18,CUST9886,PART1661,null,3608.11,CRYPTO,2025-07-17,ONLINE,,FRA,,0,0.00,2025-01-13T06:12:42,bianca05,Measure tax everything. Usually help not.
ORD000125,INVALID_DATE,CUST9539,PART8967,12,,CRYPTO,2025-08-11,,B2B,DEU,,5,0.05,2024-11-25T09:33:57,dana42,Last officer half eight. Election create east size.
ORD000126,2025-01-06,CUST2023,PART7735,18,ERROR,,2025-07-22,ONLINE,B2B,,,0,0.15,2024-08-03T09:54:27,lewiswilliam,Include seven morning kind understand past future economy.
ORD000127,2024-09-19,CUST2635,PART3643,20,9365.15,,,ONLINE,,,NEWCLIENT,5,,2025-06-16T13:30:47,kelly95,
ORD000128,2025-04-03,CUST5495,PART9246,0,,CASH,2025-08-13,ONLINE,,FRA,NEWCLIENT,N/A,,2024-07-11T11:54:52,susan70,
ORD000129,2024-08-22,CUST6493,PART6409,-1,446.37,CASH,2025-07-14,B2B_PORTAL,CORPORATE,ESP,DEPRECATED,2,0.15,2024-10-03T03:19:11,castanedalisa,
ORD000130,2024-08-27,CUST9189,PART6005,0,9774.83,,2025-08-03,PHONE,VIP,ITA,,N/A,0.10,2025-01-17T16:30:07,melanie60,Able character fish. The quite party another. Dark cover worry relationship.
ORD000131,2025-04-08,CUST7588,PART4377,-1,,,2025-08-12,STORE,B2C,USA,,N/A,0.10,2025-05-15T18:40:41,phillipsraymond,Bit amount study deep guess ahead collection executive.
ORD000132,2025-03-17,CUST7817,PART5237,0,9144.6,CRYPTO,2025-06-25,B2B_PORTAL,VIP,,,2,,2025-02-12T14:59:51,robertsonaustin,
ORD000133,2024-08-01,CUST6543,PART8953,0,8028.21,CRYPTO,2025-06-24,STORE,,ITA,SPRING2025,,0.05,2025-03-21T18:58:59,sheila89,Its street bill control fine. Positive fill improve several at.
ORD000134,2025-03-12,CUST7538,PART3444,-1,4089.74,,,ONLINE,VIP,USA,SPRING2025,0,,2024-09-20T02:01:07,foxjoseph,Loss PM health break cup artist dream.
ORD000135,INVALID_DATE,CUST2579,PART7141,X,7852.5,,2025-07-30,,,DEU,SPRING2025,1,0.05,2024-08-03T22:31:14,jenniferthomas,Determine not break single present financial.
ORD000136,2024-10-07,CUST3511,PART8871,X,5730.51,CARD,2025-07-31,ONLINE,B2B,ESP,SPRING2025,2,0.15,2025-02-27T02:45:23,nicole44,International lose film surface among decision you. A relate already a.
ORD000137,2024-07-10,CUST8370,PART7734,9,2674.69,,2025-08-04,STORE,VIP,USA,NEWCLIENT,N/A,0.15,2025-01-23T17:14:00,angelalee,Choice good take argue. Goal half position indeed. Course cup debate require.
ORD000138,2025-04-14,CUST6424,PART6270,8,4670.98,,2025-07-24,PHONE,VIP,USA,SPRING2025,N/A,0.15,2025-01-28T03:55:47,cindy23,Audience north effort animal. If authority language theory less first others.
ORD000139,INVALID_DATE,CUST8916,PART8296,X,449.64,,2025-07-27,ONLINE,B2B,,,,0.05,2025-01-06T00:16:50,cwest,Perform prevent from any exactly identify determine.
